"year","rep","age_group","sex","race","cause","cycle","trend"
2012,1,"adults","male","white","assault",0.0202852,0.670626
2013,1,"adults","male","white","assault",0.0018916,0.66769
2014,1,"adults","male","white","assault",-0.000150038,0.664753
1968,1,"adults","male","white","intentional_self_harm",-0.00627823,1.34296
1969,1,"adults","male","white","intentional_self_harm",-0.00814069,1.35107
1970,0,"adults","male","white","intentional_self_harm",0.00681545,1.35911
1971,0,"adults","male","white","intentional_self_harm",-0.0119153,1.36695
1972,0,"adults","male","white","intentional_self_harm",-0.00318035,1.37451
1973,0,"adults","male","white","intentional_self_harm",-0.000269163,1.38159
1974,0,"adults","male","white","intentional_self_harm",0.00515787,1.38797
1975,0,"adults","male","white","intentional_self_harm",0.0204991,1.39341
1976,0,"adults","male","white","intentional_self_harm",0.000593519,1.39773
1977,0,"adults","male","white","intentional_self_harm",0.0281676,1.40097
1978,1,"adults","male","white","intentional_self_harm",-0.00750108,1.40316
1979,1,"adults","male","white","intentional_self_harm",-0.0128948,1.40461
1980,1,"adults","male","white","intentional_self_harm",-0.00332807,1.40556
1981,1,"adults","male","white","intentional_self_harm",-0.00123378,1.40612
1982,0,"adults","male","white","intentional_self_harm",-0.000236381,1.40637
1983,0,"adults","male","white","intentional_self_harm",-0.00651457,1.40637
1984,0,"adults","male","white","intentional_self_harm",0.000923869,1.40619
1985,0,"adults","male","white","intentional_self_harm",-0.00369958,1.40582
1986,0,"adults","male","white","intentional_self_harm",0.0118861,1.40527
1987,0,"adults","male","white","intentional_self_harm",0.00213773,1.40451
1988,0,"adults","male","white","intentional_self_harm",-0.00507663,1.40363
1989,0,"adults","male","white","intentional_self_harm",-0.00704753,1.40274
1990,0,"adults","male","white","intentional_self_harm",0.00517708,1.40189
1991,0,"adults","male","white","intentional_self_harm",0.00447632,1.40109
1992,0,"adults","male","white","intentional_self_harm",-0.00380973,1.40035
1993,0,"adults","male","white","intentional_self_harm",0.00297504,1.39978
1994,1,"adults","male","white","intentional_self_harm",0.0104753,1.39942
1995,1,"adults","male","white","intentional_self_harm",0.0118804,1.39934
1996,1,"adults","male","white","intentional_self_harm",0.00199777,1.39973
1997,1,"adults","male","white","intentional_self_harm",-0.013909,1.40089
1998,1,"adults","male","white","intentional_self_harm",-0.0179859,1.40313
1999,1,"adults","male","white","intentional_self_harm",-0.0113835,1.40665
2000,1,"adults","male","white","intentional_self_harm",-0.0112964,1.41143
2001,1,"adults","male","white","intentional_self_harm",0.00284173,1.41738
2002,0,"adults","male","white","intentional_self_harm",0.0102081,1.42425
2003,0,"adults","male","white","intentional_self_harm",0.00268133,1.43186
2004,0,"adults","male","white","intentional_self_harm",-0.00168756,1.44012
2005,0,"adults","male","white","intentional_self_harm",-0.00834061,1.44894
2006,0,"adults","male","white","intentional_self_harm",-0.00611656,1.45825
2007,0,"adults","male","white","intentional_self_harm",0.000192935,1.46789
2008,0,"adults","male","white","intentional_self_harm",0.00699764,1.47761
2009,0,"adults","male","white","intentional_self_harm",0.00488633,1.48719
2010,1,"adults","male","white","intentional_self_harm",0.0129166,1.49648
2011,1,"adults","male","white","intentional_self_harm",0.0100656,1.50537
2012,1,"adults","male","white","intentional_self_harm",0.0052319,1.51387
2013,1,"adults","male","white","intentional_self_harm",-0.00844394,1.52211
2014,1,"adults","male","white","intentional_self_harm",-0.00889612,1.53027
1968,1,"adults","male","white","vehicle",0.00531382,1.68447
1969,1,"adults","male","white","vehicle",0.014044,1.67329
1970,0,"adults","male","white","vehicle",0.00597678,1.66217
1971,0,"adults","male","white","vehicle",0.000120089,1.65129
1972,0,"adults","male","white","vehicle",0.0112706,1.64092
1973,0,"adults","male","white","vehicle",0.0132464,1.63129
1974,0,"adults","male","white","vehicle",-0.0453589,1.62279
1975,0,"adults","male","white","vehicle",-0.0493355,1.61591
1976,0,"adults","male","white","vehicle",-0.0453775,1.6107
1977,0,"adults","male","white","vehicle",-0.0123501,1.60671
1978,1,"adults","male","white","vehicle",0.0212528,1.60304
1979,1,"adults","male","white","vehicle",0.041963,1.59867
1980,1,"adults","male","white","vehicle",0.0506468,1.59277
1981,1,"adults","male","white","vehicle",0.0434497,1.58497
1982,0,"adults","male","white","vehicle",-0.0125704,1.57537
1983,0,"adults","male","white","vehicle",-0.030192,1.56453
1984,0,"adults","male","white","vehicle",-0.00944999,1.55286
1985,0,"adults","male","white","vehicle",-0.0136565,1.54049
1986,0,"adults","male","white","vehicle",0.0131574,1.52744
1987,0,"adults","male","white","vehicle",0.0143633,1.51361
1988,0,"adults","male","white","vehicle",0.0276535,1.49901
1989,0,"adults","male","white","vehicle",0.01254,1.48381
1990,0,"adults","male","white","vehicle",0.0274284,1.46846
1991,0,"adults","male","white","vehicle",-0.00399368,1.45351
1992,0,"adults","male","white","vehicle",-0.0343539,1.43982
1993,0,"adults","male","white","vehicle",-0.0215217,1.42817
1994,1,"adults","male","white","vehicle",-0.0197646,1.41904
1995,1,"adults","male","white","vehicle",-0.00847677,1.41266
1996,1,"adults","male","white","vehicle",-0.0195345,1.40907
1997,1,"adults","male","white","vehicle",-0.0317095,1.40825
1998,1,"adults","male","white","vehicle",-0.0375535,1.40994
1999,1,"adults","male","white","vehicle",0.00109508,1.41361
2000,1,"adults","male","white","vehicle",0.00859903,1.41832
2001,1,"adults","male","white","vehicle",0.0101692,1.42315
2002,0,"adults","male","white","vehicle",0.0171318,1.42728
2003,0,"adults","male","white","vehicle",0.0111056,1.42998
2004,0,"adults","male","white","vehicle",0.0144398,1.43069
2005,0,"adults","male","white","vehicle",0.0290517,1.42895
2006,0,"adults","male","white","vehicle",0.0369239,1.42448
2007,0,"adults","male","white","vehicle",0.0364531,1.41725
2008,0,"adults","male","white","vehicle",0.0123372,1.40763
2009,0,"adults","male","white","vehicle",-0.0285732,1.39634
2010,1,"adults","male","white","vehicle",-0.035972,1.38421
2011,1,"adults","male","white","vehicle",-0.0199868,1.37182
2012,1,"adults","male","white","vehicle",0.00485051,1.35936
2013,1,"adults","male","white","vehicle",-0.00287953,1.34684
2014,1,"adults","male","white","vehicle",-0.00197301,1.33429
1968,1,"children and adolescents","female","black","assault",-0.0820077,0.786702
1969,1,"children and adolescents","female","black","assault",-0.00548293,0.805572
1970,0,"children and adolescents","female","black","assault",-0.0358579,0.823622
1971,0,"children and adolescents","female","black","assault",0.0697969,0.839977
1972,0,"children and adolescents","female","black","assault",0.0179833,0.853404
1973,0,"children and adolescents","female","black","assault",0.030469,0.863367
1974,0,"children and adolescents","female","black","assault",0.0629871,0.86951
1975,0,"children and adolescents","female","black","assault",0.0723044,0.871782
1976,0,"children and adolescents","female","black","assault",-0.0655389,0.870762
1977,0,"children and adolescents","female","black","assault",0.0380413,0.867753
1978,1,"children and adolescents","female","black","assault",-0.0133321,0.8634
1979,1,"children and adolescents","female","black","assault",0.00672276,0.858731
1980,1,"children and adolescents","female","black","assault",-0.0112957,0.854639
1981,1,"children and adolescents","female","black","assault",-0.0121905,0.852086
1982,0,"children and adolescents","female","black","assault",-0.0232025,0.851918
1983,0,"children and adolescents","female","black","assault",-0.0662052,0.854862
1984,0,"children and adolescents","female","black","assault",-0.0278647,0.861412
1985,0,"children and adolescents","female","black","assault",-0.0836315,0.8714
1986,0,"children and adolescents","female","black","assault",-0.015485,0.884379
1987,0,"children and adolescents","female","black","assault",-0.0224749,0.899066
1988,0,"children and adolescents","female","black","assault",0.000483577,0.914024
1989,0,"children and adolescents","female","black","assault",-0.0310136,0.927588
1990,0,"children and adolescents","female","black","assault",0.0724177,0.938103
1991,0,"children and adolescents","female","black","assault",0.0359389,0.943599
1992,0,"children and adolescents","female","black","assault",0.0320657,0.942833
1993,0,"children and adolescents","female","black","assault",0.122216,0.934921
1994,1,"children and adolescents","female","black","assault",0.0609367,0.919299
1995,1,"children and adolescents","female","black","assault",0.0762889,0.896624
1996,1,"children and adolescents","female","black","assault",0.0253412,0.868166
1997,1,"children and adolescents","female","black","assault",-0.0408424,0.835955
1998,1,"children and adolescents","female","black","assault",-0.0286143,0.802275
1999,1,"children and adolescents","female","black","assault",-0.00805201,0.769001
2000,1,"children and adolescents","female","black","assault",-0.032845,0.737724
2001,1,"children and adolescents","female","black","assault",-0.146362,0.709951
2002,0,"children and adolescents","female","black","assault",-0.0179725,0.686864
2003,0,"children and adolescents","female","black","assault",-0.0534008,0.66818
2004,0,"children and adolescents","female","black","assault",0.00137324,0.653436
2005,0,"children and adolescents","female","black","assault",-0.0372655,0.641634
2006,0,"children and adolescents","female","black","assault",0.0370337,0.631793
2007,0,"children and adolescents","female","black","assault",0.0135598,0.622556
2008,0,"children and adolescents","female","black","assault",0.0748195,0.612938
2009,0,"children and adolescents","female","black","assault",-0.0141557,0.602089
2010,1,"children and adolescents","female","black","assault",0.0437569,0.589907
2011,1,"children and adolescents","female","black","assault",0.036448,0.57615
2012,1,"children and adolescents","female","black","assault",0.0307521,0.561012
2013,1,"children and adolescents","female","black","assault",-0.0910645,0.545052
2014,1,"children and adolescents","female","black","assault",0.00442123,0.529136
1968,1,"children and adolescents","female","black","intentional_self_harm",-0.173562,0.139614
1969,1,"children and adolescents","female","black","intentional_self_harm",0.0639407,0.139419
1970,0,"children and adolescents","female","black","intentional_self_harm",0.0667006,0.137487
1971,0,"children and adolescents","female","black","intentional_self_harm",0.106726,0.132724
1972,0,"children and adolescents","female","black","intentional_self_harm",0.0762739,0.1247
1973,0,"children and adolescents","female","black","intentional_self_harm",-0.0732484,0.114052
1974,0,"children and adolescents","female","black","intentional_self_harm",0.0432062,0.102183
1975,0,"children and adolescents","female","black","intentional_self_harm",-0.135534,0.0897595
1976,0,"children and adolescents","female","black","intentional_self_harm",0.103621,0.0778825
1977,0,"children and adolescents","female","black","intentional_self_harm",0.0867919,0.0662971
1978,1,"children and adolescents","female","black","intentional_self_harm",-0.115272,0.0557843
1979,1,"children and adolescents","female","black","intentional_self_harm",0.0413818,0.0479934
1980,1,"children and adolescents","female","black","intentional_self_harm",-0.0817686,0.0434208
1981,1,"children and adolescents","female","black","intentional_self_harm",-0.0781431,0.0429767
1982,0,"children and adolescents","female","black","intentional_self_harm",-0.111985,0.0467538
1983,0,"children and adolescents","female","black","intentional_self_harm",0.108767,0.0540631
1984,0,"children and adolescents","female","black","intentional_self_harm",-0.0319703,0.0630959
1985,0,"children and adolescents","female","black","intentional_self_harm",-0.0825771,0.0731313
1986,0,"children and adolescents","female","black","intentional_self_harm",0.0294431,0.0831284
1987,0,"children and adolescents","female","black","intentional_self_harm",0.103687,0.0912208
1988,0,"children and adolescents","female","black","intentional_self_harm",0.119701,0.0958363
1989,0,"children and adolescents","female","black","intentional_self_harm",0.0862259,0.0964397
1990,0,"children and adolescents","female","black","intentional_self_harm",0.0153352,0.093693
1991,0,"children and adolescents","female","black","intentional_self_harm",-0.154394,0.08912
1992,0,"children and adolescents","female","black","intentional_self_harm",-0.0406195,0.0843982
1993,0,"children and adolescents","female","black","intentional_self_harm",-0.122896,0.0796612
1994,1,"children and adolescents","female","black","intentional_self_harm",0.0886297,0.0746361
1995,1,"children and adolescents","female","black","intentional_self_harm",0.0535121,0.0678212
1996,1,"children and adolescents","female","black","intentional_self_harm",0.00465703,0.0586013
1997,1,"children and adolescents","female","black","intentional_self_harm",0.192379,0.0468959
1998,1,"children and adolescents","female","black","intentional_self_harm",0.024987,0.0326714
1999,1,"children and adolescents","female","black","intentional_self_harm",-0.00355374,0.017818
2000,1,"children and adolescents","female","black","intentional_self_harm",-0.055754,0.00447548
2001,1,"children and adolescents","female","black","intentional_self_harm",-0.0409061,-0.00525166
2002,0,"children and adolescents","female","black","intentional_self_harm",-0.169334,-0.00981655
2003,0,"children and adolescents","female","black","intentional_self_harm",-0.139263,-0.00808139
2004,0,"children and adolescents","female","black","intentional_self_harm",0.175345,-0.000601684
2005,0,"children and adolescents","female","black","intentional_self_harm",0.0380431,0.0106744
2006,0,"children and adolescents","female","black","intentional_self_harm",-0.0846598,0.0255522
2007,0,"children and adolescents","female","black","intentional_self_harm",-0.0479505,0.0442174
2008,0,"children and adolescents","female","black","intentional_self_harm",0.065446,0.0660091
2009,0,"children and adolescents","female","black","intentional_self_harm",0.0244036,0.0897869
2010,1,"children and adolescents","female","black","intentional_self_harm",-0.0285593,0.115065
2011,1,"children and adolescents","female","black","intentional_self_harm",-0.00612534,0.141601
2012,1,"children and adolescents","female","black","intentional_self_harm",0.0196688,0.168869
2013,1,"children and adolescents","female","black","intentional_self_harm",0.0641938,0.196278
2014,1,"children and adolescents","female","black","intentional_self_harm",-0.0249897,0.223438
1968,1,"children and adolescents","female","black","vehicle",-0.049596,0.988374
1969,1,"children and adolescents","female","black","vehicle",0.0699539,0.9631
1970,0,"children and adolescents","female","black","vehicle",-0.00614304,0.93733
1971,0,"children and adolescents","female","black","vehicle",0.0344818,0.911267
1972,0,"children and adolescents","female","black","vehicle",0.0227133,0.885055
1973,0,"children and adolescents","female","black","vehicle",0.0631759,0.859179
1974,0,"children and adolescents","female","black","vehicle",-0.0529777,0.834354
1975,0,"children and adolescents","female","black","vehicle",-0.0631578,0.811926
1976,0,"children and adolescents","female","black","vehicle",-0.0814723,0.79271
1977,0,"children and adolescents","female","black","vehicle",0.0305859,0.776892
1978,1,"children and adolescents","female","black","vehicle",0.0551939,0.76384
1979,1,"children and adolescents","female","black","vehicle",0.0121841,0.753232
1980,1,"children and adolescents","female","black","vehicle",-0.0196383,0.745294
1981,1,"children and adolescents","female","black","vehicle",-0.0443866,0.740375
1982,0,"children and adolescents","female","black","vehicle",0.028116,0.738629
1983,0,"children and adolescents","female","black","vehicle",-0.0454566,0.739765
1984,0,"children and adolescents","female","black","vehicle",-0.00478213,0.743773
1985,0,"children and adolescents","female","black","vehicle",-0.0223208,0.75019
1986,0,"children and adolescents","female","black","vehicle",-0.00131853,0.758502
1987,0,"children and adolescents","female","black","vehicle",0.00448188,0.767975
1988,0,"children and adolescents","female","black","vehicle",0.0942433,0.77786
1989,0,"children and adolescents","female","black","vehicle",-0.0484868,0.787454
1990,0,"children and adolescents","female","black","vehicle",0.033408,0.796995
1991,0,"children and adolescents","female","black","vehicle",-0.0291192,0.806237
1992,0,"children and adolescents","female","black","vehicle",-0.0258932,0.815269
1993,0,"children and adolescents","female","black","vehicle",-0.0195488,0.823887
1994,1,"children and adolescents","female","black","vehicle",0.0369178,0.831628
1995,1,"children and adolescents","female","black","vehicle",0.0238588,0.837837
1996,1,"children and adolescents","female","black","vehicle",0.0280133,0.842223
1997,1,"children and adolescents","female","black","vehicle",0.0169901,0.844738
1998,1,"children and adolescents","female","black","vehicle",-0.101572,0.845611
1999,1,"children and adolescents","female","black","vehicle",0.0317692,0.845243
2000,1,"children and adolescents","female","black","vehicle",-0.00759647,0.843018
2001,1,"children and adolescents","female","black","vehicle",0.00849051,0.838638
2002,0,"children and adolescents","female","black","vehicle",0.0305122,0.83173
2003,0,"children and adolescents","female","black","vehicle",-0.019322,0.822004
2004,0,"children and adolescents","female","black","vehicle",0.0349053,0.809477
2005,0,"children and adolescents","female","black","vehicle",0.0425705,0.793973
2006,0,"children and adolescents","female","black","vehicle",-0.00713254,0.775662
2007,0,"children and adolescents","female","black","vehicle",0.0530236,0.755143
2008,0,"children and adolescents","female","black","vehicle",-0.0319831,0.732942
2009,0,"children and adolescents","female","black","vehicle",0.011157,0.710116
2010,1,"children and adolescents","female","black","vehicle",-0.0823824,0.687402
2011,1,"children and adolescents","female","black","vehicle",0.0024679,0.665648
2012,1,"children and adolescents","female","black","vehicle",-0.035946,0.644878
2013,1,"children and adolescents","female","black","vehicle",-0.041364,0.625143
2014,1,"children and adolescents","female","black","vehicle",0.0723825,0.606131
1968,1,"children and adolescents","female","white","assault",-0.0558752,0.0536022
1969,1,"children and adolescents","female","white","assault",-0.00335351,0.0920246
1970,0,"children and adolescents","female","white","assault",-0.00889994,0.129888
1971,0,"children and adolescents","female","white","assault",-0.0398364,0.166601
1972,0,"children and adolescents","female","white","assault",0.0294734,0.201481
1973,0,"children and adolescents","female","white","assault",0.0619704,0.233449
1974,0,"children and adolescents","female","white","assault",0.021352,0.261721
1975,0,"children and adolescents","female","white","assault",0.0113788,0.28613
1976,0,"children and adolescents","female","white","assault",-0.0212627,0.306725
1977,0,"children and adolescents","female","white","assault",-0.0116316,0.323669
1978,1,"children and adolescents","female","white","assault",0.0239967,0.336911
1979,1,"children and adolescents","female","white","assault",0.0142249,0.346283
1980,1,"children and adolescents","female","white","assault",0.0670445,0.35186
1981,1,"children and adolescents","female","white","assault",0.0293599,0.353856
1982,0,"children and adolescents","female","white","assault",0.0169323,0.353157
1983,0,"children and adolescents","female","white","assault",-0.0858958,0.350943
1984,0,"children and adolescents","female","white","assault",-0.00277051,0.348562
1985,0,"children and adolescents","female","white","assault",-0.0776312,0.346504
1986,0,"children and adolescents","female","white","assault",0.0144125,0.345231
1987,0,"children and adolescents","female","white","assault",-0.0367926,0.34443
1988,0,"children and adolescents","female","white","assault",-0.0493439,0.343929
1989,0,"children and adolescents","female","white","assault",-0.00323132,0.343191
1990,0,"children and adolescents","female","white","assault",0.0160428,0.341185
1991,0,"children and adolescents","female","white","assault",0.0126377,0.336846
1992,0,"children and adolescents","female","white","assault",0.0253906,0.329271
1993,0,"children and adolescents","female","white","assault",0.0469127,0.317683
1994,1,"children and adolescents","female","white","assault",0.0192841,0.30156
1995,1,"children and adolescents","female","white","assault",0.0936636,0.280846
1996,1,"children and adolescents","female","white","assault",0.0164311,0.255682
1997,1,"children and adolescents","female","white","assault",0.00254455,0.227142
1998,1,"children and adolescents","female","white","assault",0.0234971,0.196467
1999,1,"children and adolescents","female","white","assault",-0.0360344,0.164921
2000,1,"children and adolescents","female","white","assault",-0.0406469,0.134006
2001,1,"children and adolescents","female","white","assault",-0.0180656,0.10486
2002,0,"children and adolescents","female","white","assault",-0.0508468,0.0782168
2003,0,"children and adolescents","female","white","assault",-0.126138,0.0546301
2004,0,"children and adolescents","female","white","assault",0.0150743,0.0341437
2005,0,"children and adolescents","female","white","assault",-0.00125953,0.0155406
2006,0,"children and adolescents","female","white","assault",0.0302919,-0.00224557
2007,0,"children and adolescents","female","white","assault",0.0718977,-0.0202937
2008,0,"children and adolescents","female","white","assault",-0.0177008,-0.0393798
2009,0,"children and adolescents","female","white","assault",0.0430727,-0.059561
2010,1,"children and adolescents","female","white","assault",-0.0356747,-0.0810711
2011,1,"children and adolescents","female","white","assault",0.0527776,-0.103714
2012,1,"children and adolescents","female","white","assault",0.0245268,-0.127649
2013,1,"children and adolescents","female","white","assault",-0.0301308,-0.152508
2014,1,"children and adolescents","female","white","assault",-0.0311684,-0.177679
1968,1,"children and adolescents","female","white","intentional_self_harm",-0.0571109,0.124078
1969,1,"children and adolescents","female","white","intentional_self_harm",0.0189984,0.145994
1970,0,"children and adolescents","female","white","intentional_self_harm",0.0174978,0.167338
1971,0,"children and adolescents","female","white","intentional_self_harm",0.0263548,0.187731
1972,0,"children and adolescents","female","white","intentional_self_harm",-0.026057,0.206965
1973,0,"children and adolescents","female","white","intentional_self_harm",0.0235783,0.225099
1974,0,"children and adolescents","female","white","intentional_self_harm",0.0225477,0.241928
1975,0,"children and adolescents","female","white","intentional_self_harm",-0.0079837,0.257485
1976,0,"children and adolescents","female","white","intentional_self_harm",-0.00124589,0.27203
1977,0,"children and adolescents","female","white","intentional_self_harm",0.0109706,0.285738
1978,1,"children and adolescents","female","white","intentional_self_harm",-0.0125058,0.298778
1979,1,"children and adolescents","female","white","intentional_self_harm",0.0114011,0.311424
1980,1,"children and adolescents","female","white","intentional_self_harm",-0.0420656,0.323826
1981,1,"children and adolescents","female","white","intentional_self_harm",0.025892,0.336249
1982,0,"children and adolescents","female","white","intentional_self_harm",-0.0405964,0.348537
1983,0,"children and adolescents","female","white","intentional_self_harm",-0.0522049,0.360793
1984,0,"children and adolescents","female","white","intentional_self_harm",-0.0123332,0.372713
1985,0,"children and adolescents","female","white","intentional_self_harm",0.028463,0.383471
1986,0,"children and adolescents","female","white","intentional_self_harm",0.00395321,0.392121
1987,0,"children and adolescents","female","white","intentional_self_harm",0.0314785,0.397996
1988,0,"children and adolescents","female","white","intentional_self_harm",0.0577398,0.400473
1989,0,"children and adolescents","female","white","intentional_self_harm",0.0261478,0.399243
1990,0,"children and adolescents","female","white","intentional_self_harm",-0.00236635,0.394572
1991,0,"children and adolescents","female","white","intentional_self_harm",-0.00186762,0.386991
1992,0,"children and adolescents","female","white","intentional_self_harm",-0.0154162,0.377004
1993,0,"children and adolescents","female","white","intentional_self_harm",0.040401,0.365099
1994,1,"children and adolescents","female","white","intentional_self_harm",-0.00529219,0.351608
1995,1,"children and adolescents","female","white","intentional_self_harm",-0.0311839,0.337268
1996,1,"children and adolescents","female","white","intentional_self_harm",0.0373576,0.322762
1997,1,"children and adolescents","female","white","intentional_self_harm",0.0174482,0.308463
1998,1,"children and adolescents","female","white","intentional_self_harm",-0.006731,0.295117
1999,1,"children and adolescents","female","white","intentional_self_harm",-0.037503,0.283642
2000,1,"children and adolescents","female","white","intentional_self_harm",-0.0147015,0.274892
2001,1,"children and adolescents","female","white","intentional_self_harm",-0.0215654,0.269345
2002,0,"children and adolescents","female","white","intentional_self_harm",-0.0533535,0.267331
2003,0,"children and adolescents","female","white","intentional_self_harm",-0.0295047,0.268964
2004,0,"children and adolescents","female","white","intentional_self_harm",0.115861,0.273828
2005,0,"children and adolescents","female","white","intentional_self_harm",0.013583,0.281207
2006,0,"children and adolescents","female","white","intentional_self_harm",-0.0181365,0.291548
2007,0,"children and adolescents","female","white","intentional_self_harm",-0.0705027,0.30543
2008,0,"children and adolescents","female","white","intentional_self_harm",-0.0313208,0.323253
2009,0,"children and adolescents","female","white","intentional_self_harm",0.01525,0.344713
2010,1,"children and adolescents","female","white","intentional_self_harm",-0.0384363,0.369189
2011,1,"children and adolescents","female","white","intentional_self_harm",-0.000292252,0.396216
2012,1,"children and adolescents","female","white","intentional_self_harm",0.0340314,0.424943
2013,1,"children and adolescents","female","white","intentional_self_harm",0.0179835,0.454517
2014,1,"children and adolescents","female","white","intentional_self_harm",0.0333389,0.484424
1968,1,"children and adolescents","female","white","vehicle",-0.00549815,1.18199
1969,1,"children and adolescents","female","white","vehicle",0.00248042,1.18199
1970,0,"children and adolescents","female","white","vehicle",-0.00307352,1.18193
1971,0,"children and adolescents","female","white","vehicle",0.00377171,1.18179
1972,0,"children and adolescents","female","white","vehicle",0.0291965,1.1815
1973,0,"children and adolescents","female","white","vehicle",0.0209369,1.18104
1974,0,"children and adolescents","female","white","vehicle",-0.0488148,1.18068
1975,0,"children and adolescents","female","white","vehicle",-0.0610668,1.1809
1976,0,"children and adolescents","female","white","vehicle",-0.00359443,1.18169
1977,0,"children and adolescents","female","white","vehicle",0.0249459,1.18242
1978,1,"children and adolescents","female","white","vehicle",0.0373737,1.18245
1979,1,"children and adolescents","female","white","vehicle",0.036064,1.18136
1980,1,"children and adolescents","female","white","vehicle",0.0314825,1.17911
1981,1,"children and adolescents","female","white","vehicle",0.00158311,1.17605
1982,0,"children and adolescents","female","white","vehicle",-0.0538795,1.1728
1983,0,"children and adolescents","female","white","vehicle",-0.0511759,1.17003
1984,0,"children and adolescents","female","white","vehicle",-0.0211445,1.16786
1985,0,"children and adolescents","female","white","vehicle",-0.0062305,1.16589
1986,0,"children and adolescents","female","white","vehicle",0.0314222,1.16352
1987,0,"children and adolescents","female","white","vehicle",0.0310909,1.16008
1988,0,"children and adolescents","female","white","vehicle",0.0410506,1.15522
1989,0,"children and adolescents","female","white","vehicle",0.0476239,1.1489
1990,0,"children and adolescents","female","white","vehicle",-0.00100376,1.14149
1991,0,"children and adolescents","female","white","vehicle",-0.00787049,1.13383
1992,0,"children and adolescents","female","white","vehicle",-0.0447559,1.12677
1993,0,"children and adolescents","female","white","vehicle",-0.0495077,1.12104
1994,1,"children and adolescents","female","white","vehicle",-0.019685,1.11698
1995,1,"children and adolescents","female","white","vehicle",-0.00193208,1.11438
1996,1,"children and adolescents","female","white","vehicle",-0.0151982,1.11287
1997,1,"children and adolescents","female","white","vehicle",-0.007295,1.11204
1998,1,"children and adolescents","female","white","vehicle",-0.0258437,1.11134
1999,1,"children and adolescents","female","white","vehicle",0.0217721,1.11015
2000,1,"children and adolescents","female","white","vehicle",0.00749594,1.10758
2001,1,"children and adolescents","female","white","vehicle",-0.0303021,1.10295
2002,0,"children and adolescents","female","white","vehicle",0.0326676,1.09568
2003,0,"children and adolescents","female","white","vehicle",0.0180998,1.08487
2004,0,"children and adolescents","female","white","vehicle",0.0449813,1.06996
2005,0,"children and adolescents","female","white","vehicle",0.00299845,1.05054
2006,0,"children and adolescents","female","white","vehicle",0.035556,1.0267
2007,0,"children and adolescents","female","white","vehicle",0.0635904,0.99851
2008,0,"children and adolescents","female","white","vehicle",-0.00992122,0.966426
2009,0,"children and adolescents","female","white","vehicle",-0.0261517,0.931529
2010,1,"children and adolescents","female","white","vehicle",-0.0345806,0.894804
2011,1,"children and adolescents","female","white","vehicle",-0.009543,0.856973
2012,1,"children and adolescents","female","white","vehicle",-0.00435752,0.818413
2013,1,"children and adolescents","female","white","vehicle",-0.00268289,0.779404
2014,1,"children and adolescents","female","white","vehicle",-0.0210749,0.740184
1968,1,"children and adolescents","male","black","assault",-0.0691542,1.47528
1969,1,"children and adolescents","male","black","assault",0.00479242,1.46999
1970,0,"children and adolescents","male","black","assault",0.0418359,1.46401
1971,0,"children and adolescents","male","black","assault",0.0450634,1.45669
1972,0,"children and adolescents","male","black","assault",0.0354025,1.44781
1973,0,"children and adolescents","male","black","assault",0.0183346,1.4376
1974,0,"children and adolescents","male","black","assault",0.0350363,1.42663
1975,0,"children and adolescents","male","black","assault",0.0142668,1.41566
1976,0,"children and adolescents","male","black","assault",-0.0187851,1.40582
1977,0,"children and adolescents","male","black","assault",-0.0353291,1.39836
1978,1,"children and adolescents","male","black","assault",-0.0622326,1.39433
1979,1,"children and adolescents","male","black","assault",0.0176765,1.39447
1980,1,"children and adolescents","male","black","assault",0.0312329,1.39886
1981,1,"children and adolescents","male","black","assault",0.0288172,1.40776
1982,0,"children and adolescents","male","black","assault",-0.0124831,1.42177
1983,0,"children and adolescents","male","black","assault",-0.0666072,1.44175
1984,0,"children and adolescents","male","black","assault",-0.12818,1.46845
1985,0,"children and adolescents","male","black","assault",-0.0943795,1.50194
1986,0,"children and adolescents","male","black","assault",-0.080196,1.54102
1987,0,"children and adolescents","male","black","assault",-0.0413849,1.58354
1988,0,"children and adolescents","male","black","assault",0.0105999,1.62656
1989,0,"children and adolescents","male","black","assault",0.0449869,1.66671
1990,0,"children and adolescents","male","black","assault",0.0942102,1.70074
1991,0,"children and adolescents","male","black","assault",0.119761,1.72584
1992,0,"children and adolescents","male","black","assault",0.0818479,1.74014
1993,0,"children and adolescents","male","black","assault",0.113983,1.74298
1994,1,"children and adolescents","male","black","assault",0.105492,1.73451
1995,1,"children and adolescents","male","black","assault",0.0416757,1.71602
1996,1,"children and adolescents","male","black","assault",0.0249589,1.68985
1997,1,"children and adolescents","male","black","assault",-0.0121378,1.65877
1998,1,"children and adolescents","male","black","assault",-0.0654634,1.62579
1999,1,"children and adolescents","male","black","assault",-0.0739116,1.59381
2000,1,"children and adolescents","male","black","assault",-0.0876154,1.56505
2001,1,"children and adolescents","male","black","assault",-0.0702882,1.54102
2002,0,"children and adolescents","male","black","assault",-0.0840516,1.52233
2003,0,"children and adolescents","male","black","assault",-0.0291565,1.50891
2004,0,"children and adolescents","male","black","assault",-0.0442439,1.49984
2005,0,"children and adolescents","male","black","assault",0.00609817,1.49389
2006,0,"children and adolescents","male","black","assault",0.0621111,1.48941
2007,0,"children and adolescents","male","black","assault",0.07517,1.48482
2008,0,"children and adolescents","male","black","assault",0.0428585,1.47912
