"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Diseases of the skin and subcutaneous tissue"	"680-709"	1	36168	2.8 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Congenital anomalies"	"740-759"	79	36168	218.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Certain causes of perinatal mortality"	"760-778"	240	36168	663.6
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Symptoms and ill-defined conditions"	"780-796"	72	36168	199.1
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1975"	"1975"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	16	36168	44.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Infective and parasitic diseases"	"000-136"	31	38861	79.8
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Neoplasms"	"140-239"	4	38861	10.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	3	38861	7.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the blood and blood-forming organs"	"280-289"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the nervous system and sense organs"	"320-389"	18	38861	46.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the circulatory system"	"390-458"	12	38861	30.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the respiratory system"	"460-519"	43	38861	110.7
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the digestive system"	"520-577"	12	38861	30.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the genitourinary system"	"580-629"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the skin and subcutaneous tissue"	"680-709"	1	38861	2.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Congenital anomalies"	"740-759"	87	38861	223.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Certain causes of perinatal mortality"	"760-778"	217	38861	558.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Symptoms and ill-defined conditions"	"780-796"	65	38861	167.3
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1976"	"1976"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	24	38861	61.8
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Infective and parasitic diseases"	"000-136"	30	40805	73.5
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Neoplasms"	"140-239"	6	40805	14.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	2	40805	4.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the blood and blood-forming organs"	"280-289"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the nervous system and sense organs"	"320-389"	19	40805	46.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the circulatory system"	"390-458"	6	40805	14.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the respiratory system"	"460-519"	38	40805	93.1
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the digestive system"	"520-577"	8	40805	19.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the genitourinary system"	"580-629"	2	40805	4.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the skin and subcutaneous tissue"	"680-709"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Congenital anomalies"	"740-759"	79	40805	193.6
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Certain causes of perinatal mortality"	"760-778"	225	40805	551.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Symptoms and ill-defined conditions"	"780-796"	76	40805	186.3
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1977"	"1977"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	14	40805	34.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Infective and parasitic diseases"	"000-136"	32	44803	71.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Neoplasms"	"140-239"	4	44803	8.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	4	44803	8.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the blood and blood-forming organs"	"280-289"	2	44803	4.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the nervous system and sense organs"	"320-389"	13	44803	29.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the circulatory system"	"390-458"	17	44803	37.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the respiratory system"	"460-519"	32	44803	71.4
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the digestive system"	"520-577"	15	44803	33.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the genitourinary system"	"580-629"	2	44803	4.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the skin and subcutaneous tissue"	"680-709"	1	44803	2.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	1	44803	2.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Congenital anomalies"	"740-759"	90	44803	200.9
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Certain causes of perinatal mortality"	"760-778"	244	44803	544.6
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Symptoms and ill-defined conditions"	"780-796"	86	44803	192.0
	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	"1978"	"1978"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	23	44803	51.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Infective and parasitic diseases"	"000-136"	832	1504706	55.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Neoplasms"	"140-239"	111	1504706	7.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	238	1504706	15.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the blood and blood-forming organs"	"280-289"	62	1504706	4.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Mental disorders"	"290-315"	5	1504706	0.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the nervous system and sense organs"	"320-389"	411	1504706	27.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the circulatory system"	"390-458"	264	1504706	17.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the respiratory system"	"460-519"	3372	1504706	224.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the digestive system"	"520-577"	482	1504706	32.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the genitourinary system"	"580-629"	57	1504706	3.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the skin and subcutaneous tissue"	"680-709"	22	1504706	1.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	11	1504706	0.7 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Congenital anomalies"	"740-759"	5122	1504706	340.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Certain causes of perinatal mortality"	"760-778"	19761	1504706	1313.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Symptoms and ill-defined conditions"	"780-796"	938	1504706	62.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1968"	"1968"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	1047	1504706	69.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Infective and parasitic diseases"	"000-136"	783	1547716	50.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Neoplasms"	"140-239"	104	1547716	6.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	216	1547716	14.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the blood and blood-forming organs"	"280-289"	56	1547716	3.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Mental disorders"	"290-315"	9	1547716	0.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the nervous system and sense organs"	"320-389"	404	1547716	26.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the circulatory system"	"390-458"	244	1547716	15.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the respiratory system"	"460-519"	3187	1547716	205.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the digestive system"	"520-577"	484	1547716	31.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the genitourinary system"	"580-629"	62	1547716	4.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the skin and subcutaneous tissue"	"680-709"	29	1547716	1.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	8	1547716	0.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Congenital anomalies"	"740-759"	5213	1547716	336.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Certain causes of perinatal mortality"	"760-778"	19148	1547716	1237.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Symptoms and ill-defined conditions"	"780-796"	1131	1547716	73.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1969"	"1969"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	1080	1547716	69.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Infective and parasitic diseases"	"000-136"	827	1599680	51.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Neoplasms"	"140-239"	103	1599680	6.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	231	1599680	14.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the blood and blood-forming organs"	"280-289"	48	1599680	3.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Mental disorders"	"290-315"	2	1599680	0.1 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the nervous system and sense organs"	"320-389"	471	1599680	29.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the circulatory system"	"390-458"	278	1599680	17.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the respiratory system"	"460-519"	2888	1599680	180.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the digestive system"	"520-577"	484	1599680	30.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the genitourinary system"	"580-629"	68	1599680	4.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the skin and subcutaneous tissue"	"680-709"	20	1599680	1.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	3	1599680	0.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Congenital anomalies"	"740-759"	5123	1599680	320.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Certain causes of perinatal mortality"	"760-778"	18957	1599680	1185.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Symptoms and ill-defined conditions"	"780-796"	1287	1599680	80.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1970"	"1970"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	935	1599680	58.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Infective and parasitic diseases"	"000-136"	740	1509980	49.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Neoplasms"	"140-239"	101	1509980	6.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	202	1509980	13.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the blood and blood-forming organs"	"280-289"	82	1509980	5.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Mental disorders"	"290-315"	4	1509980	0.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the nervous system and sense organs"	"320-389"	423	1509980	28.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the circulatory system"	"390-458"	284	1509980	18.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the respiratory system"	"460-519"	2507	1509980	166.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the digestive system"	"520-577"	398	1509980	26.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the genitourinary system"	"580-629"	53	1509980	3.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the skin and subcutaneous tissue"	"680-709"	16	1509980	1.1 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	7	1509980	0.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Congenital anomalies"	"740-759"	4835	1509980	320.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Certain causes of perinatal mortality"	"760-778"	16926	1509980	1120.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Symptoms and ill-defined conditions"	"780-796"	1337	1509980	88.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1971"	"1971"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	1039	1509980	68.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Infective and parasitic diseases"	"000-136"	686	1374624	49.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Neoplasms"	"140-239"	80	1374624	5.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	186	1374624	13.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the blood and blood-forming organs"	"280-289"	70	1374624	5.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the nervous system and sense organs"	"320-389"	384	1374624	27.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the circulatory system"	"390-458"	290	1374624	21.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the respiratory system"	"460-519"	2062	1374624	150.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the digestive system"	"520-577"	404	1374624	29.4
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the genitourinary system"	"580-629"	46	1374624	3.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the skin and subcutaneous tissue"	"680-709"	12	1374624	0.9 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	2	1374624	0.1 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Congenital anomalies"	"740-759"	4346	1374624	316.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Certain causes of perinatal mortality"	"760-778"	14518	1374624	1056.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Symptoms and ill-defined conditions"	"780-796"	1482	1374624	107.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1972"	"1972"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	854	1374624	62.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Infective and parasitic diseases"	"000-136"	746	1321501	56.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Neoplasms"	"140-239"	76	1321501	5.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	175	1321501	13.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the blood and blood-forming organs"	"280-289"	93	1321501	7.0
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Mental disorders"	"290-315"	8	1321501	0.6 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the nervous system and sense organs"	"320-389"	376	1321501	28.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the circulatory system"	"390-458"	316	1321501	23.9
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the respiratory system"	"460-519"	1693	1321501	128.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the digestive system"	"520-577"	353	1321501	26.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the genitourinary system"	"580-629"	42	1321501	3.2
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the skin and subcutaneous tissue"	"680-709"	19	1321501	1.4 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	2	1321501	0.2 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Congenital anomalies"	"740-759"	4090	1321501	309.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Certain causes of perinatal mortality"	"760-778"	13041	1321501	986.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Symptoms and ill-defined conditions"	"780-796"	1610	1321501	121.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1973"	"1973"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	774	1321501	58.6
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Infective and parasitic diseases"	"000-136"	746	1336452	55.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Neoplasms"	"140-239"	74	1336452	5.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	165	1336452	12.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the blood and blood-forming organs"	"280-289"	68	1336452	5.1
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Mental disorders"	"290-315"	4	1336452	0.3 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the nervous system and sense organs"	"320-389"	394	1336452	29.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the circulatory system"	"390-458"	332	1336452	24.8
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the respiratory system"	"460-519"	1234	1336452	92.3
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the digestive system"	"520-577"	384	1336452	28.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the genitourinary system"	"580-629"	50	1336452	3.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the skin and subcutaneous tissue"	"680-709"	13	1336452	1.0 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	7	1336452	0.5 (Unreliable)
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Congenital anomalies"	"740-759"	3912	1336452	292.7
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Certain causes of perinatal mortality"	"760-778"	12275	1336452	918.5
	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1974"	"1974"	"Symptoms and ill-defined conditions"	"780-796"	1878	1336452	140.5
